Sentence,Intent_label
Aircraft spotting or plane spotting is a hobby of tracking the movement of aircraft which is often accomplished by photography.,hobby
Video editing is the manipulation and arrangement of video shots.,hobby
"Do it yourself or DIY is the method of building, modifying, or repairing things by oneself without the direct aid of professionals or certified experts.",hobby
"Scuba diving may be done recreationally or professionally in a number of applications, including scientific, military and public safety roles.",hobby
Most commercial scuba diving uses surface supplied diving equipment when this is practicable.,hobby
Macramé is a form of textile produced using knotting rather than weaving or knitting techniques.,hobby
Video editing has been dramatically democratized in recent years by editing software available for personal computers.,hobby
The model building advanced skill levels 4 and 5 kits ship with components that have extra fine details.,hobby
Memory improvement is the act of enhancing one's memory.,hobby
"The performer for stand up comedy is known as a comedian, comic or a stand up.",hobby
Blog and blogging are now loosely used for content creation and sharing on social media especially when the content is long form and one creates and shares content on regular basis.,hobby
The complexity of assembling representations of actual objects as in model building has become a career for several people.,hobby
Though some slot cars are used to model highway traffic on scenic layouts the great majority are used in the competitive hobby of slot car racing or slot racing.,hobby
"Wikiracing has many different variations and names including The Wikipedia Game,  Wikipedia Maze, Wikispeedia, Wikiwars, Wikipedia Ball, Litner Ball, Wikipedia Racing and Wikipedia Speedrunning.",hobby
"Stand up comedy can be performed almost anywhere including comedy clubs, comedy festivals, bars, nightclubs, colleges or theatres.",hobby
"The creation of music is commonly divided into musical composition, musical improvisation and  musical performance though the topic itself extends into academic disciplines, criticism, philosophy, and psychology.",hobby
The model building kits can be classified according to skill levels that represent the degree of difficulty for the hobbyist.,hobby
The model building kits can be classified according to skill levels that represent the degree of difficulty for the hobbyist.,hobby
"Model building is a pursuit principally found in the UK, USA, northwestern European countries and the industrialised British Commonwealth countries.",hobby
"In the academic setting creative writing is typically separated into fiction and poetry classes with a focus on writing in an original style, as opposed to imitating pre existing genres such as crime or horror.",hobby
"Less often the term Plastic arts may be used broadly for all the visual arts such as painting, sculpture, film and photography as opposed to literature and music.",hobby
"Musical composition can refer to an original piece or work of music either vocal or instrumental, the structure of a musical piece or to the process of creating or writing a new piece of music.",hobby
"Woodworking is the skill of making items from wood and includes cabinet making cabinetry and furniture, wood carving, joinery, carpentry and woodturning.",hobby
Nail art is a type of artwork that can be done on fingernails and toenails usually after manicures or pedicures.,hobby
In model building a model is generally considered physical representations of an object and maintains accurate relationships between all of its aspects.,hobby
"The categories of modelling include  Scale model building, Live steam models, Matchstick models, Military models, Model aircraft, Model cars, Model commercial vehicles.",hobby
Mineral collecting can also be a part of the profession of mineralogy and allied geologic specialties.,hobby
Penjing and bonsai differ.,hobby
Most model building categories have a range of common scales that make them manageable for the average person both to complete and display.,hobby
Most model building categories have a range of common scales that make them manageable for the average person both to complete and display.,hobby
"In addition to writing instruments, pen spinning is often also seen performed by drummers with their drumsticks.",hobby
Not only is simple living focused on external changes such as minimalism through fewer commitments or possessions but it also connects to the human mindset and set of beliefs.,hobby
The fantasy sport teams compete based on the statistical performance of those players in actual games.,hobby
There are many digital art programs and devices for drawing.,hobby
Fashion design is influenced by culture and different trends and has varied over time and place.,hobby
Sneaker collecting is a hobby often manifested by the use and collection of shoes made for particular sports particularly basketball and skateboarding.,hobby
"During this period performance magic became a staple of Broadway theatre, vaudeville and music halls.",hobby
"The decorative arts are often categorized in distinction to the fine arts namely painting, drawing, photography and large scale sculpture which generally produce objects solely for their aesthetic quality and capacity to stimulate the intellect.",hobby
Pen spinning is a form of object manipulation that involves the deft manipulation of a writing instrument with hands.,hobby
Writing for the screen and stage screenwriting and playwriting are often taught separately but fit under the creative writing category as well.,hobby
Model building is a hobby and career that involves the creation of physical models either from kits or from materials and components acquired by the builder.,hobby
Livestreaming is often referred to simply as streaming.,hobby
Specialized training is usually not required for pet sitting.,hobby
"Therefore MW DX involves different receiving equipment, signal propagation and reception techniques.",hobby
"Ceramic art, metalwork, furniture, jewellery, fashion, various forms of the textile arts and glassware are major groupings in decorative arts.",hobby
"Creative writing is any writing that goes outside the bounds of normal professional, journalistic, academic or technical forms of literature, typically identified by an emphasis on narrative craft, character development and the use of literary tropes or with various traditions of poetry and poetics.",hobby
Book restoration is the renewal and repair of books.,hobby
"Pen spinning  is sometimes classified as a form of contact juggling however, some tricks e.g.spreads and aerial tricks do leave contact with the body.",hobby
Video editing can be difficult and tedious so several technologies have been produced to aid people in this task.,hobby
In recent years the element collecting hobby has gained popularity with media attention brought by element collectors like Theodore Gray.,hobby
So one could be maintaining a blog on Facebook or blogging on Instagram.,hobby
"Fashion design is the art of applying design, aesthetics, clothing construction and natural beauty to clothing and its accessories.",hobby
Model engineering is a branch of metalworking with a strong emphasis on artisanry as opposed to mass production.,hobby
Watching television.,hobby
Gambling also known as betting or gaming is the wagering of something of value on a random event with the intent of winning something else of value where instances of strategy are discounted.,hobby
"BJJ eventually came to be its own defined combat sport through the innovations, practices and adaptation of  Gracie jiu jitsu and Judo and became an essential martial art for modern MMA.",hobby
Pet sitting commonly occurs at the pet owner home but may also occur at the provider home or at a pet sitting place of business or organization.,hobby
There is also a piscicultural fishkeeping industry as a branch of agriculture.,hobby
"Different singing styles include  art music such as opera and Chinese opera,  Indian music,  Japanese music and  religious music styles such as gospel,  traditional music styles,  world music, jazz, blues, ghazal, and  popular music styles such as pop, rock, and electronic dance music.",hobby
"A book discussion club is a group of people who meet to discuss a book or books that they have read and express their opinions, likes, dislikes, etc.",hobby
In popular practice recreational drug use generally is a tolerated social behaviour rather than perceived as the medical condition of self medication.,hobby
Candle making was developed independently in many places around the world.,hobby
A skipping rope or jump rope is a tool used in the sport of skipping rope where one or more participants jump over a rope swung so that it passes under their feet and over their heads.,hobby
There is also a piscicultural fishkeeping industry serving as a branch of agriculture.,hobby
"Video editing is used to structure and present all video information including films and television shows, video advertisements and video essays.",hobby
Pen based video editing software was developed in order to give people a more intuitive and fast way to edit video.,hobby
The two methods in sketching are line drawing and shading.,hobby
The modern hula hoop was inspired by Australian bamboo hoops.,hobby
Wine tasting is the sensory examination and evaluation of wine.,hobby
"Book collecting is the collecting of books including seeking, locating, acquiring, organizing, cataloging, displaying, storing and maintaining whatever books are of interest to a given collector.",hobby
Butterfly watching also includes the catch and release of butterflies.,hobby
Cosplayers often interact to create a subculture and a broader use of the term cosplay applies to any costumed role playing in venues apart from the stage.,hobby
Simple living refers to practices that promote simplicity in one's lifestyle.,hobby
Cardistry is the performance art of card flourishing.,hobby
Stamp collecting has been one of the world's most popular hobbies since the late nineteenth century with the rapid growth of the postal service.,hobby
In fantasy sport the performance is converted into points that are compiled and totaled according to a roster selected by each fantasy team manager.,hobby
Zumba is a fitness program that involves cardio and Latin inspired dance.,hobby
Ohio State University also had a squirrel fishing club.,hobby
The term feng shui means literally wind water ie fluid.,hobby
"Fishing is also not considered hunting to pursue animals without intent to kill them as in  wildlife photography, birdwatchingor scientific research activities which involve tranquilizing or tagging of animals or birds.",hobby
Robot combat arenas are generally surrounded by a bulletproof screen.,hobby
The name bullet journal comes from the use of abbreviated bullet points to log information.,hobby
The term do it yourself has been associated with consumers since at least 1912 primarily in the domain of home improvement and maintenance activities.,hobby
Results that have surfaced through scientific  blind wine tasting suggest the unreliability of wine tasting in both experts and consumers such as inconsistency in identifying wines based on region and price.,hobby
The field of second language acquisition is regarded by some but not everybody as a sub discipline of applied linguistics but also receives research attention from a variety of other disciplines such as psychology and education.,hobby
Cosplay a portmanteau of costume play is an activity and performance art in which participants called cosplayers wear costumes and fashion accessories to represent a specific character.,hobby
"Techniques for book restoration include cleaning, mending and filling damaged pages, restitching and rebinding.",hobby
Traditional  hand drawing and drafting methods are still utilized in designing jewellery particularly at the conceptual stage  of jewellery design.,hobby
"Tabletop games or tabletops are games that are normally played on a table or other flat surface such as board games, card games, dice games, miniature wargames or tile-based games.",hobby
For instance in the United Kingdom the regulator of gambling activities is called the Gambling Commission  not the Gaming Commission.,hobby
Livestreaming is streaming media simultaneously recorded and broadcast in real time over the internet.,hobby
A garage kit or resin kit is an assembly scale model kit most commonly cast in polyurethane resin.,hobby
"A range of jigsaw puzzle accessories, including boards, cases, frames, and roll up mats have become available to assist jigsaw puzzle enthusiasts.",hobby
There has been some debate over where modern squirrel fishing originated.,hobby
MW DX is similar to TV and FM DX in that broadcast band (BCB) stations are the reception targets.,hobby
The term Pyrography means writing with fire from the Greek pur fire and graphos writing.,hobby
"Other weaving methods are knitting, crocheting, felting and braiding or plaiting.",hobby
Amateur radio is officially represented and coordinated by the International Amateur Radio Union which is organized in three regions and has as its members the national amateur radio societies which exist in most countries.,hobby
The pursuit of two way contact between distant amateur radio operators is also a significant activity within the amateur radio hobby.,hobby
Pet sitting is a more personal and individualized arrangement for care compared to boarding or kenneling.,hobby
In this sense creative writing is a more contemporary and process oriented name for what has been traditionally called literature including the variety of its genres.,hobby
Lock picking is the practice of unlocking a lock by manipulating the components of the lock device without the original key.,hobby
The key difference between crochet and knitting beyond the implements used for their production is that each stitch in crochet is completed before the next one is begun while knitting keeps many stitches open at a time.,hobby
"More broadly feng shui includes astronomical, astrological, architectural, cosmological, geographical and topographical dimensions.",hobby
Bullet journal partially comes from the use of dot journals which are gridded using dots rather than lines.,hobby
Fishkeeping is a popular hobby practiced by aquarists concerned with keeping fish in a home aquarium or garden pond.,hobby
"Sucrology is the hobby of collecting sugar packets, including wrappers, sachets, tubes, sticks, packs, bags and squares.",hobby
Recreational drug use is the use of one or more psychoactive drugs to induce an altered state of consciousness either for pleasure or for some other casual purpose or pastime.,hobby
Other types of reading and writing such as pictograms are not based on  speech based writing systems.,hobby
Poi artists may also sing or dance while swinging their poi.,hobby
"Poi can be made from various materials with different handles, weights and effects such as fire.",hobby
Unlike  card magic the cardistry is meant to be visually impressive and appear very hard to execute.,hobby
In recent years there has been a revival in home roasting.,hobby
The model building kits include skill level 1 with snap together pieces that do not require glue or paint and skill level 2 which requires glue and paint and skill level 3 kits that include smaller and more detailed parts.,hobby
Candy making or candymaking is the preparation and cookery of candies and sugar confections.,hobby
"A hula hoop is a toy hoop that is twirled around the waist, limbs or neck.",hobby
A hula hoop can also be wheeled along the ground like a wheel with careful execution.,hobby
A bullet journal sometimes known as a BuJo is a method of personal organization developed by designer Ryder Carroll.,hobby
Michigan State University was late to join with Squirrel fishing club in 2015.,hobby
Squirrel fishing occurred at least as early as 1889 in the United States.,hobby
"DXing is the hobby of receiving and identifying distant radio or television signals or making two way radio contact with distant stations in amateur radio, citizens band radio or other two way radio communications.",hobby
The purpose of computer programming is to find a sequence of instructions that will automate the performance of a task on a computer often for solving a given problem.,hobby
Pet sitting is the act of temporarily taking care of another person pet for a given time frame.,hobby
Pen spinning has quickly gained international popularity through online video sharing and forums.,hobby
Model building is a hobby that involves the creation of models either from kits or from materials and components acquired by the builder.,hobby
What was originally a necessity home roasting has now become a hobby.,hobby
"Favorite sources of cosplay include anime, cartoons, comic books, manga, television series and video games.",hobby
Butterfly watching also called butterflying is a hobby concerned with the observation and study of butterflies.,hobby
The distinction is that the gameplay of a card game chiefly depends on the use of the cards by players while board games generally focus on the players positions on the board and use the cards for some secondary purpose.,hobby
When assembled the pieces of jigsaw puzzle produce a complete picture.,hobby
The music in karaoke is an instrumental version of a well known popular song.,hobby
This differs from traditional yoga which focuses on meditation and release from worldly attachments.,hobby
Due to the looseness of the definition it is possible for writing such as feature stories to be considered creative writing even though they fall under journalism because the content of features is specifically focused on narrative and character development.,hobby
"There are multiple subsets of skipping rope including single freestyle, single speed, pairs, three person speed or Double Dutch and three person freestyle or Double Dutch freestyle.",hobby
In Australia consumers first came in contact with couponing when a company called Shopa Docket promoted offers and discounts on the back of shopping receipts in 1986.,hobby
"Besides monitoring aircraft, aircraft spotting enthusiasts who are usually called plane spotters also record information regarding airports, air traffic control communications and airline routes.",hobby
The pen spinning hobby has been popular around the world since at least the 1970s.,hobby
The two words are not mutually exclusive a gaming company offers legal gambling activities to the public and may be regulated by one of many gaming control boards for example the  Nevada Gaming Control Board.,hobby
"Book collecting can be easy and inexpensive there are millions of new and used books and thousands of bookstores including online booksellers such as Abebooks, Alibris, Amazon and Biblio.",hobby
Cavandoli macramé is one variety that is used to form geometric and free form patterns like weaving.,hobby
"Nail art is a creative way to paint, decorate, enhance and embellish nails.",hobby
The term model engineering was in use by 1888.,hobby
"Brazilian jiu jitsu or BJJ is a self defence martial art and combat sport based on grappling, ground fighting and submission holds.",hobby
"Brazilian jiu jitsu was initially developed in 1925 by Brazilian brothers Carlos, Oswaldo, Gastão Jr, George, and Hélio Gracie.",hobby
Philately involves more than just stamp collecting or the study of postage it is possible to be a philatelist without owning any stamps.,hobby
"Stand up comedy consists of one liners, stories, observations or a shtick that may incorporate props, music, magic tricks or ventriloquism.",hobby
Railway modelling or model railroading is a hobby in which rail transport systems are modelled at a reduced scale.,hobby
"Other frequently used terms to describe a book discussion club include reading group, book group and book discussion group.",hobby
"In woodworking and the decorative arts, refinishing refers to the act of repairing or reapplying the wood finishing on an object.",hobby
The model building level 5 requires expert level skills.,hobby
Stamp collecting is an area of philately.,hobby
Stamp collecting is the study or combined study and collection of stamps.,hobby
Following World War I commercial coffee roasting became prevalent.,hobby
With the distribution of instant coffee home roasting decreased substantially.,hobby
Today model building is no longer exclusively a hobbyist pursuit.,hobby
Homebrewing is closely related to the hobby of home distillation.,hobby
Home distillation the production of alcoholic spirits for personal consumption.,hobby
Home distillation is generally more tightly regulated.,hobby
Floral design or flower arrangement is the art of using plant materials and flowers to create an eye catching and balanced composition or display.,hobby
Second language acquisition or SLA sometimes called second language learning or otherwise referred to as L2 acquisition is the process by which people learn a second language.,hobby
Second language acquisition is also the scientific discipline devoted to studying that process.,hobby
Stand up comedy is a comedic performance to a live audience in which the performer addresses the audience directly from the stage.,hobby
Element collecting is the hobby of collecting the chemical elements.,hobby
Scuba diving is a mode of  underwater diving whereby divers use breathing equipment that is completely independent of a surface air supply.,hobby
Stamp collecting is the collecting of postage stamps and related objects.,hobby
Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately which is the study of stamps.,hobby
"Mineral collecting is the hobby of systematically collecting, identifying and displaying mineral specimens.",hobby
"Stylistically rapping occupies a gray area between speech, prose, poetry and singing.",hobby
Creative writing can technically be considered any writing of original composition.,hobby
Watching documentaries.,hobby
Watching movies.,hobby
MW DX short for  mediumwave DXing is the hobby of receiving distant mediumwave known as AM in North America radio stations.,hobby
Aircraft spotting or plane spotting is a hobby of tracking the movement of aircraft which is often accomplished by photography.,hobby
Video editing is the manipulation and arrangement of video shots.,hobby
"Do it yourself or DIY is the method of building, modifying, or repairing things by oneself without the direct aid of professionals or certified experts.",hobby
"Scuba diving may be done recreationally or professionally in a number of applications, including scientific, military and public safety roles.",hobby
Most commercial scuba diving uses surface supplied diving equipment when this is practicable.,hobby
Macramé is a form of textile produced using knotting rather than weaving or knitting techniques.,hobby
Video editing has been dramatically democratized in recent years by editing software available for personal computers.,hobby
The model building advanced skill levels 4 and 5 kits ship with components that have extra fine details.,hobby
Memory improvement is the act of enhancing one's memory.,hobby
"The performer for stand up comedy is known as a comedian, comic or a stand up.",hobby
Blog and blogging are now loosely used for content creation and sharing on social media especially when the content is long form and one creates and shares content on regular basis.,hobby
The complexity of assembling representations of actual objects as in model building has become a career for several people.,hobby
Though some slot cars are used to model highway traffic on scenic layouts the great majority are used in the competitive hobby of slot car racing or slot racing.,hobby
"Wikiracing has many different variations and names including The Wikipedia Game,  Wikipedia Maze, Wikispeedia, Wikiwars, Wikipedia Ball, Litner Ball, Wikipedia Racing and Wikipedia Speedrunning.",hobby
"Stand up comedy can be performed almost anywhere including comedy clubs, comedy festivals, bars, nightclubs, colleges or theatres.",hobby
"The creation of music is commonly divided into musical composition, musical improvisation and  musical performance though the topic itself extends into academic disciplines, criticism, philosophy, and psychology.",hobby
The model building kits can be classified according to skill levels that represent the degree of difficulty for the hobbyist.,hobby
The model building kits can be classified according to skill levels that represent the degree of difficulty for the hobbyist.,hobby
"Model building is a pursuit principally found in the UK, USA, northwestern European countries and the industrialised British Commonwealth countries.",hobby
"In the academic setting creative writing is typically separated into fiction and poetry classes with a focus on writing in an original style, as opposed to imitating pre existing genres such as crime or horror.",hobby
"Less often the term Plastic arts may be used broadly for all the visual arts such as painting, sculpture, film and photography as opposed to literature and music.",hobby
"Musical composition can refer to an original piece or work of music either vocal or instrumental, the structure of a musical piece or to the process of creating or writing a new piece of music.",hobby
"Woodworking is the skill of making items from wood and includes cabinet making cabinetry and furniture, wood carving, joinery, carpentry and woodturning.",hobby
Nail art is a type of artwork that can be done on fingernails and toenails usually after manicures or pedicures.,hobby
In model building a model is generally considered physical representations of an object and maintains accurate relationships between all of its aspects.,hobby
"The categories of modelling include  Scale model building, Live steam models, Matchstick models, Military models, Model aircraft, Model cars, Model commercial vehicles.",hobby
Mineral collecting can also be a part of the profession of mineralogy and allied geologic specialties.,hobby
Penjing and bonsai differ.,hobby
Most model building categories have a range of common scales that make them manageable for the average person both to complete and display.,hobby
Most model building categories have a range of common scales that make them manageable for the average person both to complete and display.,hobby
"In addition to writing instruments, pen spinning is often also seen performed by drummers with their drumsticks.",hobby
Not only is simple living focused on external changes such as minimalism through fewer commitments or possessions but it also connects to the human mindset and set of beliefs.,hobby
The fantasy sport teams compete based on the statistical performance of those players in actual games.,hobby
There are many digital art programs and devices for drawing.,hobby
Fashion design is influenced by culture and different trends and has varied over time and place.,hobby
Sneaker collecting is a hobby often manifested by the use and collection of shoes made for particular sports particularly basketball and skateboarding.,hobby
"During this period performance magic became a staple of Broadway theatre, vaudeville and music halls.",hobby
"The decorative arts are often categorized in distinction to the fine arts namely painting, drawing, photography and large scale sculpture which generally produce objects solely for their aesthetic quality and capacity to stimulate the intellect.",hobby
Pen spinning is a form of object manipulation that involves the deft manipulation of a writing instrument with hands.,hobby
Writing for the screen and stage screenwriting and playwriting are often taught separately but fit under the creative writing category as well.,hobby
Model building is a hobby and career that involves the creation of physical models either from kits or from materials and components acquired by the builder.,hobby
Livestreaming is often referred to simply as streaming.,hobby
Specialized training is usually not required for pet sitting.,hobby
"Therefore MW DX involves different receiving equipment, signal propagation and reception techniques.",hobby
"Ceramic art, metalwork, furniture, jewellery, fashion, various forms of the textile arts and glassware are major groupings in decorative arts.",hobby
"Creative writing is any writing that goes outside the bounds of normal professional, journalistic, academic or technical forms of literature, typically identified by an emphasis on narrative craft, character development and the use of literary tropes or with various traditions of poetry and poetics.",hobby
Book restoration is the renewal and repair of books.,hobby
"Pen spinning  is sometimes classified as a form of contact juggling however, some tricks e.g.spreads and aerial tricks do leave contact with the body.",hobby
Video editing can be difficult and tedious so several technologies have been produced to aid people in this task.,hobby
In recent years the element collecting hobby has gained popularity with media attention brought by element collectors like Theodore Gray.,hobby
So one could be maintaining a blog on Facebook or blogging on Instagram.,hobby
"Fashion design is the art of applying design, aesthetics, clothing construction and natural beauty to clothing and its accessories.",hobby
Model engineering is a branch of metalworking with a strong emphasis on artisanry as opposed to mass production.,hobby
Watching television.,hobby
Gambling also known as betting or gaming is the wagering of something of value on a random event with the intent of winning something else of value where instances of strategy are discounted.,hobby
"BJJ eventually came to be its own defined combat sport through the innovations, practices and adaptation of  Gracie jiu jitsu and Judo and became an essential martial art for modern MMA.",hobby
Pet sitting commonly occurs at the pet owner home but may also occur at the provider home or at a pet sitting place of business or organization.,hobby
There is also a piscicultural fishkeeping industry as a branch of agriculture.,hobby
"Different singing styles include  art music such as opera and Chinese opera,  Indian music,  Japanese music and  religious music styles such as gospel,  traditional music styles,  world music, jazz, blues, ghazal, and  popular music styles such as pop, rock, and electronic dance music.",hobby
"A book discussion club is a group of people who meet to discuss a book or books that they have read and express their opinions, likes, dislikes, etc.",hobby
In popular practice recreational drug use generally is a tolerated social behaviour rather than perceived as the medical condition of self medication.,hobby
Candle making was developed independently in many places around the world.,hobby
A skipping rope or jump rope is a tool used in the sport of skipping rope where one or more participants jump over a rope swung so that it passes under their feet and over their heads.,hobby
There is also a piscicultural fishkeeping industry serving as a branch of agriculture.,hobby
"Video editing is used to structure and present all video information including films and television shows, video advertisements and video essays.",hobby
Pen based video editing software was developed in order to give people a more intuitive and fast way to edit video.,hobby
The two methods in sketching are line drawing and shading.,hobby
The modern hula hoop was inspired by Australian bamboo hoops.,hobby
Wine tasting is the sensory examination and evaluation of wine.,hobby
"Book collecting is the collecting of books including seeking, locating, acquiring, organizing, cataloging, displaying, storing and maintaining whatever books are of interest to a given collector.",hobby
Butterfly watching also includes the catch and release of butterflies.,hobby
Cosplayers often interact to create a subculture and a broader use of the term cosplay applies to any costumed role playing in venues apart from the stage.,hobby
Simple living refers to practices that promote simplicity in one's lifestyle.,hobby
Cardistry is the performance art of card flourishing.,hobby
Stamp collecting has been one of the world's most popular hobbies since the late nineteenth century with the rapid growth of the postal service.,hobby
In fantasy sport the performance is converted into points that are compiled and totaled according to a roster selected by each fantasy team manager.,hobby
Zumba is a fitness program that involves cardio and Latin inspired dance.,hobby
Ohio State University also had a squirrel fishing club.,hobby
The term feng shui means literally wind water ie fluid.,hobby
"Fishing is also not considered hunting to pursue animals without intent to kill them as in  wildlife photography, birdwatchingor scientific research activities which involve tranquilizing or tagging of animals or birds.",hobby
Robot combat arenas are generally surrounded by a bulletproof screen.,hobby
The name bullet journal comes from the use of abbreviated bullet points to log information.,hobby
The term do it yourself has been associated with consumers since at least 1912 primarily in the domain of home improvement and maintenance activities.,hobby
Results that have surfaced through scientific  blind wine tasting suggest the unreliability of wine tasting in both experts and consumers such as inconsistency in identifying wines based on region and price.,hobby
The field of second language acquisition is regarded by some but not everybody as a sub discipline of applied linguistics but also receives research attention from a variety of other disciplines such as psychology and education.,hobby
Cosplay a portmanteau of costume play is an activity and performance art in which participants called cosplayers wear costumes and fashion accessories to represent a specific character.,hobby
"Techniques for book restoration include cleaning, mending and filling damaged pages, restitching and rebinding.",hobby
Traditional  hand drawing and drafting methods are still utilized in designing jewellery particularly at the conceptual stage  of jewellery design.,hobby
"Tabletop games or tabletops are games that are normally played on a table or other flat surface such as board games, card games, dice games, miniature wargames or tile-based games.",hobby
For instance in the United Kingdom the regulator of gambling activities is called the Gambling Commission  not the Gaming Commission.,hobby
Livestreaming is streaming media simultaneously recorded and broadcast in real time over the internet.,hobby
A garage kit or resin kit is an assembly scale model kit most commonly cast in polyurethane resin.,hobby
"A range of jigsaw puzzle accessories, including boards, cases, frames, and roll up mats have become available to assist jigsaw puzzle enthusiasts.",hobby
There has been some debate over where modern squirrel fishing originated.,hobby
MW DX is similar to TV and FM DX in that broadcast band (BCB) stations are the reception targets.,hobby
The term Pyrography means writing with fire from the Greek pur fire and graphos writing.,hobby
"Other weaving methods are knitting, crocheting, felting and braiding or plaiting.",hobby
Amateur radio is officially represented and coordinated by the International Amateur Radio Union which is organized in three regions and has as its members the national amateur radio societies which exist in most countries.,hobby
The pursuit of two way contact between distant amateur radio operators is also a significant activity within the amateur radio hobby.,hobby
Pet sitting is a more personal and individualized arrangement for care compared to boarding or kenneling.,hobby
In this sense creative writing is a more contemporary and process oriented name for what has been traditionally called literature including the variety of its genres.,hobby
Lock picking is the practice of unlocking a lock by manipulating the components of the lock device without the original key.,hobby
The key difference between crochet and knitting beyond the implements used for their production is that each stitch in crochet is completed before the next one is begun while knitting keeps many stitches open at a time.,hobby
"More broadly feng shui includes astronomical, astrological, architectural, cosmological, geographical and topographical dimensions.",hobby
Bullet journal partially comes from the use of dot journals which are gridded using dots rather than lines.,hobby
Fishkeeping is a popular hobby practiced by aquarists concerned with keeping fish in a home aquarium or garden pond.,hobby
"Sucrology is the hobby of collecting sugar packets, including wrappers, sachets, tubes, sticks, packs, bags and squares.",hobby
Recreational drug use is the use of one or more psychoactive drugs to induce an altered state of consciousness either for pleasure or for some other casual purpose or pastime.,hobby
Other types of reading and writing such as pictograms are not based on  speech based writing systems.,hobby
Poi artists may also sing or dance while swinging their poi.,hobby
"Poi can be made from various materials with different handles, weights and effects such as fire.",hobby
Unlike  card magic the cardistry is meant to be visually impressive and appear very hard to execute.,hobby
In recent years there has been a revival in home roasting.,hobby
The model building kits include skill level 1 with snap together pieces that do not require glue or paint and skill level 2 which requires glue and paint and skill level 3 kits that include smaller and more detailed parts.,hobby
Candy making or candymaking is the preparation and cookery of candies and sugar confections.,hobby
"A hula hoop is a toy hoop that is twirled around the waist, limbs or neck.",hobby
A hula hoop can also be wheeled along the ground like a wheel with careful execution.,hobby
A bullet journal sometimes known as a BuJo is a method of personal organization developed by designer Ryder Carroll.,hobby
Michigan State University was late to join with Squirrel fishing club in 2015.,hobby
Squirrel fishing occurred at least as early as 1889 in the United States.,hobby
"DXing is the hobby of receiving and identifying distant radio or television signals or making two way radio contact with distant stations in amateur radio, citizens band radio or other two way radio communications.",hobby
The purpose of computer programming is to find a sequence of instructions that will automate the performance of a task on a computer often for solving a given problem.,hobby
Pet sitting is the act of temporarily taking care of another person pet for a given time frame.,hobby
Pen spinning has quickly gained international popularity through online video sharing and forums.,hobby
Model building is a hobby that involves the creation of models either from kits or from materials and components acquired by the builder.,hobby
What was originally a necessity home roasting has now become a hobby.,hobby
"Favorite sources of cosplay include anime, cartoons, comic books, manga, television series and video games.",hobby
Butterfly watching also called butterflying is a hobby concerned with the observation and study of butterflies.,hobby
The distinction is that the gameplay of a card game chiefly depends on the use of the cards by players while board games generally focus on the players positions on the board and use the cards for some secondary purpose.,hobby
When assembled the pieces of jigsaw puzzle produce a complete picture.,hobby
The music in karaoke is an instrumental version of a well known popular song.,hobby
This differs from traditional yoga which focuses on meditation and release from worldly attachments.,hobby
Due to the looseness of the definition it is possible for writing such as feature stories to be considered creative writing even though they fall under journalism because the content of features is specifically focused on narrative and character development.,hobby
